iter	Passed	Remaining
0	11	34318
1	22	34726
2	32	33964
3	44	34000
4	55	34016
5	65	33694
6	77	34054
7	91	35324
8	103	35286
9	117	36145
10	128	35883
11	138	35559
12	150	35545
13	163	35907
14	174	35811
15	186	35828
16	197	35723
17	210	35903
18	222	35963
19	232	35752
20	243	35623
21	254	35469
22	265	35370
23	277	35452
24	288	35420
25	301	35559
26	312	35504
27	324	35464
28	335	35413
29	345	35290
30	357	35252
31	368	35236
32	379	35129
33	390	35102
34	401	35039
35	411	34927
36	423	34950
37	434	34933
38	445	34867
39	460	35089
40	471	35072
41	483	35077
42	494	35078
43	508	35210
44	519	35165
45	531	35156
46	543	35176
47	554	35170
48	566	35156
49	577	35134
50	589	35139
51	601	35124
52	612	35125
53	624	35139
54	635	35095
55	647	35102
56	659	35094
57	671	35090
58	681	35041
59	692	35008
60	703	34959
61	715	34966
62	728	34992
63	739	34956
64	751	34982
65	762	34958
66	774	34962
67	788	35074
68	801	35122
69	813	35101
70	824	35058
71	837	35109
72	848	35072
73	859	35054
74	871	35050
75	883	35044
76	899	35218
77	912	35248
78	923	35220
79	935	35197
80	946	35176
81	957	35119
82	967	35054
83	977	34990
84	988	34968
85	1001	34983
86	1011	34935
87	1027	35067
88	1038	35012
89	1048	34963
90	1058	34893
91	1068	34831
92	1078	34760
93	1088	34697
94	1098	34641
95	1108	34593
96	1119	34569
97	1130	34517
98	1140	34477
99	1151	34448
100	1162	34416
101	1173	34381
102	1184	34370
103	1196	34373
104	1207	34345
105	1217	34292
106	1228	34261
107	1238	34216
108	1249	34170
109	1259	34144
110	1271	34123
111	1282	34115
112	1295	34135
113	1305	34100
114	1316	34074
115	1329	34088
116	1339	34052
117	1351	34046
118	1362	34020
119	1374	34029
120	1385	34001
121	1396	33976
122	1406	33940
123	1416	33891
124	1427	33868
125	1437	33820
126	1447	33788
127	1458	33755
128	1468	33708
129	1477	33664
130	1489	33647
131	1499	33612
132	1509	33575
133	1520	33553
134	1530	33522
135	1541	33490
136	1551	33451
137	1561	33409
138	1571	33367
139	1581	33334
140	1591	33306
141	1601	33268
142	1611	33224
143	1622	33198
144	1632	33160
145	1643	33146
146	1653	33115
147	1663	33079
148	1673	33040
149	1684	33027
150	1695	33014
151	1706	32994
152	1716	32966
153	1727	32938
154	1738	32921
155	1748	32897
156	1758	32857
157	1768	32820
158	1778	32789
159	1788	32756
160	1798	32732
161	1809	32710
162	1819	32682
163	1830	32663
164	1839	32627
165	1849	32597
166	1860	32582
167	1870	32547
168	1880	32518
169	1890	32478
170	1900	32445
171	1909	32412
172	1919	32374
173	1929	32340
174	1939	32314
175	1948	32276
176	1958	32250
177	1969	32227
178	1979	32195
179	1988	32164
180	1998	32135
181	2009	32123
182	2021	32126
183	2032	32105
184	2042	32079
185	2052	32062
186	2063	32044
187	2073	32023
188	2084	32000
189	2093	31969
190	2103	31937
191	2112	31903
192	2122	31867
193	2132	31842
194	2143	31826
195	2153	31805
196	2164	31801
197	2177	31815
198	2189	31819
199	2199	31800
200	2210	31788
201	2222	31781
202	2232	31759
203	2243	31747
204	2254	31736
205	2265	31723
206	2280	31775
207	2295	31814
208	2305	31786
209	2315	31764
210	2326	31756
211	2338	31752
212	2351	31772
213	2363	31770
214	2373	31748
215	2383	31727
216	2394	31717
217	2407	31726
218	2417	31708
219	2429	31704
220	2440	31696
221	2453	31708
222	2464	31700
223	2476	31692
224	2486	31667
225	2495	31640
226	2506	31617
227	2515	31591
228	2525	31568
229	2535	31544
230	2545	31516
231	2555	31486
232	2564	31456
233	2573	31424
234	2583	31397
235	2593	31372
236	2602	31345
237	2612	31318
238	2623	31309
239	2633	31283
240	2643	31258
241	2652	31231
242	2662	31204
243	2672	31183
244	2683	31170
245	2693	31148
246	2702	31121
247	2712	31096
248	2724	31096
249	2733	31069
250	2743	31043
251	2753	31024
252	2764	31012
253	2774	30986
254	2783	30961
255	2794	30944
256	2803	30917
257	2813	30895
258	2826	30903
259	2835	30874
260	2845	30852
261	2855	30830
262	2866	30820
263	2876	30803
264	2886	30781
265	2895	30752
266	2905	30727
267	2914	30699
268	2923	30672
269	2932	30641
270	2942	30614
271	2951	30584
272	2961	30565
273	2970	30539
274	2980	30521
275	2990	30498
276	3000	30478
277	3011	30470
278	3022	30459
279	3032	30447
280	3042	30428
281	3053	30416
282	3063	30392
283	3072	30372
284	3083	30354
285	3092	30334
286	3102	30313
287	3113	30301
288	3124	30291
289	3134	30279
290	3145	30261
291	3154	30240
292	3163	30214
293	3174	30196
294	3183	30175
295	3193	30153
296	3202	30128
297	3211	30102
298	3222	30086
299	3233	30079
300	3244	30071
301	3253	30048
302	3263	30024
303	3273	30008
304	3283	29989
305	3293	29976
306	3303	29959
307	3313	29938
308	3322	29915
309	3332	29894
310	3342	29877
311	3352	29857
312	3361	29837
313	3372	29825
314	3381	29803
315	3391	29787
316	3401	29768
317	3411	29749
318	3422	29741
319	3433	29732
320	3444	29724
321	3454	29703
322	3464	29693
323	3475	29682
324	3486	29673
325	3497	29663
326	3507	29649
327	3516	29625
328	3526	29604
329	3535	29582
330	3545	29564
331	3557	29559
332	3568	29551
333	3577	29528
334	3586	29507
335	3596	29488
336	3605	29468
337	3615	29449
338	3625	29431
339	3635	29415
340	3644	29393
341	3653	29369
342	3662	29346
343	3671	29322
344	3682	29311
345	3692	29297
346	3702	29276
347	3711	29258
348	3721	29240
349	3731	29221
350	3740	29200
351	3750	29180
352	3759	29159
353	3768	29134
354	3780	29139
355	3794	29148
356	3803	29126
357	3812	29107
358	3822	29091
359	3832	29073
360	3842	29059
361	3853	29049
362	3862	29030
363	3872	29011
364	3881	28989
365	3892	28977
366	3901	28960
367	3910	28938
368	3921	28926
369	3931	28911
370	3940	28892
371	3950	28876
372	3961	28863
373	3970	28844
374	3979	28825
375	3991	28820
376	4003	28818
377	4016	28827
378	4025	28806
379	4035	28789
380	4044	28770
381	4054	28751
382	4063	28734
383	4074	28724
384	4087	28730
385	4097	28713
386	4106	28695
387	4116	28678
388	4126	28663
389	4137	28651
390	4147	28636
391	4156	28620
392	4168	28615
393	4178	28601
394	4188	28589
395	4198	28571
396	4208	28557
397	4218	28540
398	4227	28524
399	4237	28509
400	4247	28491
401	4257	28476
402	4267	28463
403	4277	28451
404	4288	28444
405	4298	28425
406	4307	28406
407	4317	28391
408	4327	28376
409	4337	28362
410	4346	28343
411	4356	28328
412	4366	28310
413	4376	28296
414	4385	28279
415	4394	28261
416	4406	28256
417	4417	28247
418	4427	28232
419	4436	28215
420	4446	28200
421	4456	28183
422	4465	28165
423	4474	28147
424	4484	28132
425	4494	28116
426	4504	28101
427	4515	28093
428	4524	28077
429	4535	28069
430	4546	28060
431	4556	28047
432	4566	28031
433	4576	28016
434	4585	28000
435	4595	27985
436	4605	27968
437	4614	27951
438	4624	27934
439	4633	27915
440	4643	27901
441	4653	27888
442	4663	27876
443	4674	27865
444	4684	27852
445	4693	27833
446	4703	27818
447	4714	27812
448	4723	27796
449	4733	27779
450	4742	27760
451	4752	27748
452	4763	27737
453	4773	27723
454	4782	27707
455	4791	27690
456	4801	27672
457	4810	27653
458	4819	27636
459	4828	27617
460	4837	27599
461	4847	27583
462	4856	27568
463	4866	27554
464	4876	27540
465	4886	27526
466	4896	27510
467	4905	27494
468	4914	27475
469	4923	27458
470	4932	27439
471	4941	27421
472	4951	27404
473	4961	27390
474	4970	27373
475	4979	27355
476	4989	27345
477	4999	27328
478	5008	27309
479	5017	27291
480	5026	27275
481	5035	27257
482	5044	27239
483	5053	27222
484	5063	27207
485	5072	27190
486	5082	27174
487	5091	27160
488	5101	27143
489	5110	27129
490	5120	27112
491	5130	27100
492	5139	27084
493	5148	27067
494	5158	27051
495	5167	27035
496	5176	27018
497	5186	27003
498	5195	26986
499	5204	26971
500	5215	26960
501	5224	26946
502	5235	26939
503	5245	26926
504	5255	26912
505	5265	26901
506	5275	26889
507	5285	26874
508	5294	26858
509	5304	26844
510	5313	26828
511	5323	26812
512	5332	26797
513	5342	26783
514	5352	26770
515	5361	26754
516	5370	26740
517	5380	26724
518	5389	26707
519	5398	26691
520	5408	26681
521	5418	26664
522	5427	26648
523	5436	26634
524	5446	26620
525	5455	26604
526	5465	26589
527	5474	26572
528	5483	26556
529	5492	26540
530	5502	26525
531	5511	26510
532	5520	26495
533	5530	26480
534	5539	26464
535	5574	26572
536	5614	26701
537	5626	26699
538	5638	26697
539	5667	26773
540	5677	26761
541	5687	26746
542	5696	26731
543	5706	26716
544	5715	26702
545	5726	26690
546	5735	26676
547	5745	26661
548	5754	26646
549	5765	26634
550	5775	26625
551	5785	26609
552	5794	26595
553	5804	26580
554	5816	26577
555	5825	26561
556	5835	26545
557	5844	26529
558	5853	26514
559	5863	26502
560	5874	26493
561	5884	26478
562	5893	26464
563	5905	26460
564	5915	26448
565	5925	26433
566	5934	26419
567	5944	26405
568	5953	26388
569	5963	26376
570	5973	26361
571	5983	26352
572	5993	26338
573	6002	26322
574	6012	26307
575	6022	26295
576	6033	26288
577	6044	26278
578	6055	26271
579	6066	26264
580	6076	26252
581	6086	26239
582	6097	26229
583	6107	26217
584	6119	26212
585	6132	26214
586	6144	26209
587	6153	26195
588	6163	26182
589	6173	26170
590	6183	26158
591	6194	26148
592	6204	26135
593	6215	26128
594	6228	26126
595	6241	26129
596	6254	26127
597	6266	26124
598	6276	26111
599	6285	26096
600	6295	26082
601	6304	26066
602	6313	26051
603	6323	26035
604	6332	26019
605	6341	26004
606	6350	25989
607	6360	25975
608	6369	25960
609	6379	25948
610	6389	25933
611	6398	25919
612	6408	25904
613	6417	25889
614	6426	25874
615	6435	25858
616	6445	25843
617	6454	25828
618	6463	25812
619	6473	25798
620	6482	25783
621	6491	25768
622	6501	25753
623	6510	25738
624	6519	25722
625	6528	25707
626	6537	25693
627	6548	25682
628	6558	25671
629	6567	25656
630	6577	25641
631	6586	25626
632	6598	25622
633	6610	25617
634	6619	25601
635	6629	25591
636	6639	25577
637	6648	25562
638	6657	25547
639	6667	25533
640	6676	25519
641	6685	25504
642	6695	25489
643	6704	25475
644	6713	25460
645	6724	25451
646	6735	25441
647	6745	25430
648	6754	25415
649	6764	25401
650	6774	25393
651	6784	25379
652	6794	25365
653	6803	25350
654	6812	25336
655	6821	25320
656	6831	25309
657	6842	25298
658	6851	25284
659	6860	25270
660	6870	25256
661	6879	25241
662	6888	25226
663	6897	25211
664	6907	25198
665	6916	25183
666	6925	25169
667	6935	25155
668	6944	25142
669	6954	25128
670	6963	25115
671	6973	25102
672	6982	25088
673	6992	25073
674	7001	25060
675	7010	25045
